iter	Passed	Remaining
0	5	5430
1	10	5163
2	15	5209
3	20	5072
4	25	5036
5	30	5072
6	35	5069
7	40	5029
8	45	4988
9	49	4939
10	55	4956
11	60	4966
12	62	4772
13	67	4754
14	72	4757
15	77	4746
16	81	4733
17	86	4732
18	91	4721
19	96	4730
20	101	4721
21	106	4719
22	110	4707
23	115	4709
24	121	4750
25	126	4745
26	131	4735
27	136	4751
28	142	4782
29	147	4770
30	152	4775
31	159	4817
32	164	4808
33	169	4824
34	174	4817
35	179	4809
36	185	4830
37	190	4822
38	195	4814
39	201	4840
40	206	4831
41	211	4826
42	216	4827
43	222	4825
44	229	4860
45	233	4849
46	238	4839
47	244	4856
48	249	4844
49	254	4831
50	259	4826
51	264	4816
52	268	4805
53	273	4798
54	278	4787
55	283	4775
56	288	4766
57	292	4756
58	297	4746
59	302	4737
60	307	4728
61	311	4719
62	316	4708
63	322	4719
64	328	4721
65	333	4715
66	339	4721
67	344	4719
68	349	4713
69	355	4723
70	360	4714
71	366	4724
72	372	4725
73	376	4715
74	382	4720
75	387	4717
76	392	4707
77	398	4715
78	404	4718
79	410	4719
80	415	4713
81	420	4709
82	426	4706
83	431	4700
84	436	4700
85	441	4693
86	446	4690
87	451	4681
88	456	4671
89	461	4662
90	466	4662
91	471	4652
92	476	4643
93	480	4635
94	485	4627
95	490	4619
96	495	4610
97	500	4602
98	505	4599
99	510	4591
100	515	4590
101	521	4592
102	527	4592
103	533	4593
104	540	4607
105	545	4600
106	551	4604
107	556	4596
108	561	4588
109	568	4596
110	572	4588
111	577	4580
112	583	4582
113	588	4573
114	593	4566
115	599	4569
116	604	4561
117	609	4557
118	615	4558
119	620	4551
120	625	4543
121	630	4537
122	635	4531
123	640	4526
124	645	4520
125	650	4513
126	655	4505
127	660	4498
128	665	4490
129	669	4482
130	674	4475
131	679	4468
132	684	4460
133	689	4453
134	693	4445
135	698	4437
136	703	4430
137	708	4423
138	712	4416
139	717	4408
140	722	4400
141	727	4393
142	731	4385
143	736	4379
144	741	4372
145	746	4364
146	751	4361
147	758	4366
148	764	4365
149	769	4361
150	775	4359
151	780	4356
152	785	4351
153	791	4345
154	796	4344
155	801	4338
156	806	4332
157	812	4331
158	817	4324
159	822	4317
160	828	4317
161	833	4309
162	837	4302
163	844	4303
164	848	4296
165	853	4289
166	858	4284
167	863	4276
168	868	4269
169	873	4265
170	878	4258
171	883	4251
172	888	4245
173	892	4239
174	897	4232
175	902	4226
176	907	4218
177	911	4211
178	916	4204
179	921	4198
180	926	4191
181	931	4185
182	935	4178
183	940	4171
184	945	4165
185	951	4163
186	956	4156
187	961	4150
188	966	4146
189	971	4141
190	976	4135
191	981	4131
192	986	4126
193	991	4120
194	997	4116
195	1002	4111
196	1008	4109
197	1013	4104
198	1019	4101
199	1024	4099
200	1029	4093
201	1034	4088
202	1040	4086
203	1045	4081
204	1051	4076
205	1056	4071
206	1061	4064
207	1066	4059
208	1070	4053
209	1076	4048
210	1080	4041
211	1085	4035
212	1090	4028
213	1095	4022
214	1100	4016
215	1104	4010
216	1109	4003
217	1114	3998
218	1119	3992
219	1124	3986
220	1129	3981
221	1134	3974
222	1138	3968
223	1144	3963
224	1149	3960
225	1154	3954
226	1160	3952
227	1165	3947
228	1170	3940
229	1176	3939
230	1182	3935
231	1186	3928
232	1192	3927
233	1198	3922
234	1203	3916
235	1208	3913
236	1214	3908
237	1218	3902
238	1225	3902
239	1230	3897
240	1236	3893
241	1241	3887
242	1246	3883
243	1251	3878
244	1256	3871
245	1261	3866
246	1266	3862
247	1271	3856
248	1276	3850
249	1281	3844
250	1286	3838
251	1291	3832
252	1295	3825
253	1300	3819
254	1305	3812
255	1309	3806
256	1314	3801
257	1319	3795
258	1324	3788
259	1329	3782
260	1333	3776
261	1338	3770
262	1344	3767
263	1349	3763
264	1354	3756
265	1360	3754
266	1365	3749
267	1370	3743
268	1376	3741
269	1382	3736
270	1386	3730
271	1392	3728
272	1397	3721
273	1403	3717
274	1408	3714
275	1413	3708
276	1419	3704
277	1424	3700
278	1429	3695
279	1435	3692
280	1441	3687
281	1445	3681
282	1450	3675
283	1455	3670
284	1460	3664
285	1465	3658
286	1470	3653
287	1475	3647
288	1480	3641
289	1485	3635
290	1489	3629
291	1494	3624
292	1499	3618
293	1504	3612
294	1509	3606
295	1513	3600
296	1518	3594
297	1523	3588
298	1528	3582
299	1532	3576
300	1537	3570
301	1542	3564
302	1547	3558
303	1550	3549
304	1555	3544
305	1561	3540
306	1565	3534
307	1571	3531
308	1576	3525
309	1581	3519
310	1588	3518
311	1592	3512
312	1598	3507
313	1604	3504
314	1608	3498
315	1613	3493
316	1619	3490
317	1624	3484
318	1629	3479
319	1635	3476
320	1640	3470
321	1646	3465
322	1651	3461
323	1656	3455
324	1661	3450
325	1666	3445
326	1671	3439
327	1676	3434
328	1681	3428
329	1685	3422
330	1690	3417
331	1695	3411
332	1700	3405
333	1705	3399
334	1709	3394
335	1714	3388
336	1719	3382
337	1723	3376
338	1728	3370
339	1733	3364
340	1738	3359
341	1742	3353
342	1747	3347
343	1752	3342
344	1758	3338
345	1763	3332
346	1768	3328
347	1773	3323
348	1778	3318
349	1784	3314
350	1789	3308
351	1794	3303
352	1800	3299
353	1805	3294
354	1810	3289
355	1815	3285
356	1820	3279
357	1825	3273
358	1831	3270
359	1836	3264
360	1841	3259
361	1847	3255
362	1851	3249
363	1856	3243
364	1861	3238
365	1866	3232
366	1871	3227
367	1876	3222
