Stock,총자산증가율 (2018),매출액증가율 (2018),총자본영업이익율 (2018),매출액영업이익율 (2018),자기자본비율 (2018),유보액/납입자본비율 (2018),총자본회전율 (2018),영업활동으로인한현금흐름 (2018),총자산증가율 (2019),매출액증가율 (2019),총자본영업이익율 (2019),매출액영업이익율 (2019),자기자본비율 (2019),유보액/납입자본비율 (2019),총자본회전율 (2019),영업활동으로인한현금흐름 (2019),총자산증가율 (2020),매출액증가율 (2020),총자본영업이익율 (2020),매출액영업이익율 (2020),자기자본비율 (2020),유보액/납입자본비율 (2020),총자본회전율 (2020),영업활동으로인한현금흐름 (2020),총자산증가율 (2021),매출액증가율 (2021),총자본영업이익율 (2021),매출액영업이익율 (2021),자기자본비율 (2021),유보액/납입자본비율 (2021),총자본회전율 (2021),영업활동으로인한현금흐름 (2021),2018_관리종목여부,2019_관리종목여부,2020_관리종목여부,2021_관리종목여부,2018_Z,2019_Z,2020_Z,2021_Z,2018_부실기업판별_알Z,2019_부실기업판별_알Z,2020_부실기업판별_알Z,2021_부실기업판별_알Z,2018_부도확률_o,2019_부도확률_o,2020_부도확률_o,2021_부도확률_o,2018_F_score,2019_F_score,2020_F_score,2021_F_score,2018_K,2019_K,2020_K,2021_K,2018_부실여부판단_K,2019_부실여부판단_K,2020_부실여부판단_K,2021_부실여부판단_K,성장성2018,성장성2019,성장성2020,성장성2021,수익성2018,수익성2019,수익성2020,수익성2021,안정성2018,안정성2019,안정성2020,안정성2021,활동성2018,현금흐름2018,활동성2019,현금흐름2019,활동성2020,현금흐름2020,활동성2021,현금흐름2021,업종,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목
389500,46.03,2.26,-5.23,-11.8,20.22,340.07,0.44,60758000.0,-21.16,-34.7,-17.06,-62.63,1.08,-81.52,0.27,-2686112000.0,-23.07,9.76,-15.18,-39.6,11.87,3.7,0.38,-1165070000.0,17.62,2.61,-13.65,-32.85,37.41,181.23,0.42,-1715607000.0,0,0,0,0,,,,,3,3,3,3,0.0235637588410339,0.1001146023061875,0.111845163717552,0.0136781717668901,1,0,1,1,14.59380115115266,8.66583222936015,5.088311662234166,4.963408769065773,2,2,2,2,4,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,0,0,0,0,0,0,0
296640,81.84,-6.23,3.88,5.16,40.95,2371.7,0.75,1148444000.0,-1.2,43.95,17.43,20.65,54.98,2891.58,0.84,4188603000.0,-17.63,-20.68,8.25,11.17,54.46,3253.12,0.74,1613872000.0,34.8,50.27,21.71,20.74,74.43,737.77,1.05,2473444000.0,0,0,0,0,,,,,3,3,3,3,0.0067656692779416,0.0007525901410233,0.0006147956421534,4.3461782332769065e-05,1,2,1,1,17.32869974732481,18.460089991931188,19.907773972777328,23.272621014951465,2,2,2,2,4,3,1,4,3,4,3,4,2,3,3,2,3,2,3,3,3,2,4,2,1,0,0,0,0,0,0,0
417970,23.53,9.65,25.3,16.97,47.94,2005.45,1.49,5469434000.0,9.91,8.93,21.58,15.41,54.31,2521.46,1.4,10757070000.0,-6.52,-9.16,15.68,12.49,53.74,2324.91,1.26,8304769000.0,14.0,9.2,18.82,14.19,56.01,907.47,1.33,9397543000.0,0,0,0,0,,,,,3,3,3,3,0.0003425210432102,0.0003766805531497,0.0013011612483727,0.0001412970131961,1,1,1,2,26.20070180128712,27.279233839136047,26.70497104708985,27.549903062257204,2,2,2,2,4,3,1,2,4,4,4,4,2,3,3,2,4,3,4,3,4,3,4,3,2,0,0,0,0,0,0,0
314140,38.75,-5.02,8.28,9.85,58.82,1558.22,0.84,6995499000.0,29.38,7.86,3.85,5.67,48.94,1624.67,0.68,6582410000.0,12.53,40.18,3.37,4.25,46.79,1755.41,0.79,6454520000.0,10.19,17.4,4.29,5.11,45.17,1873.56,0.84,9459383000.0,0,0,0,0,,,,,3,3,3,3,0.0004608136017909,0.0011315825673239,0.0013564375651496,0.0016190458140917,1,1,2,2,21.578064344857605,21.15862913669568,22.112463005074524,22.60428491703495,2,2,2,2,4,3,3,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0
129920,8.36,7.67,3.96,5.32,38.03,4012.35,0.74,875506000.0,2.05,-17.48,4.13,7.07,40.64,3888.07,0.58,-5228960000.0,-6.44,-0.67,-6.91,-11.63,26.69,2349.9,0.59,12804083000.0,20.71,41.38,8.96,11.38,21.7,3342.41,0.79,894409000.0,0,0,0,0,,,,,3,3,3,3,0.0016018871329418,0.0010273438480207,0.0105791944779515,0.0028319945667507,1,1,1,1,20.705555971645573,21.68356340232671,19.0803349903008,21.842415973114427,2,2,2,2,3,1,1,3,3,3,1,3,2,2,2,2,3,2,2,1,2,3,3,2,2,0,0,0,0,0,0,0
368600,35.25,-5.52,20.84,21.99,47.88,1386.58,0.95,419143000.0,29.27,41.93,31.43,30.81,58.57,2250.57,1.02,2987910000.0,72.09,-1.77,11.23,17.2,32.61,2184.2,0.65,1707418000.0,50.91,41.83,2.65,4.54,53.42,1013.46,0.58,6811970000.0,0,0,0,0,,,,,3,3,3,3,0.0006546623995812,0.0002403058021615,0.0079707989558627,0.0010408107723729,1,1,1,1,22.24845450627625,25.03923562390556,20.318934573531376,20.21504474799684,2,2,2,2,4,4,3,4,4,4,4,2,2,3,2,2,3,2,4,2,3,2,2,3,2,0,0,0,0,0,0,0
365340,42.94,50.4,19.89,13.67,41.05,848.3,1.46,2746387000.0,46.24,-44.39,-11.85,-21.21,41.91,1097.89,0.56,-3660696000.0,45.54,30.77,-5.26,-10.5,12.9,534.27,0.5,368613000.0,30.61,128.89,8.27,9.86,58.17,2338.11,0.84,6905095000.0,0,0,0,0,,,,,3,3,3,3,0.0009855765313495,0.0070977668663973,0.010349349854164,0.0013170499489029,1,0,1,2,24.136094523205152,18.842034026874256,18.18647437717514,20.003022104963136,2,2,2,2,4,2,4,4,4,1,1,3,2,2,1,3,4,3,2,1,2,2,3,3,2,0,0,0,0,0,0,0
403870,-51.38,-91.62,-14.48,-124.08,91.52,498.79,0.12,-6852444000.0,98.19,963.14,50.34,39.59,77.31,902.54,1.27,7449524000.0,87.88,143.58,74.14,45.81,69.11,1546.3,1.62,31141084000.0,85.71,49.98,64.15,49.28,57.57,531.35,1.3,37776504000.0,0,0,0,0,,,,,3,3,3,3,0.0081196728873941,3.065931157645434e-06,4.750680165068471e-06,2.0693704652836308e-05,0,1,1,1,12.366405618933737,24.46706133407148,27.629375400578407,25.77898110818921,2,2,2,2,1,4,4,4,1,4,4,4,3,3,3,2,1,1,4,3,4,4,4,4,2,0,0,0,0,0,0,0
112290,5.16,40.27,7.28,7.36,34.01,1908.82,0.99,3986781000.0,7.6,15.75,8.54,7.93,37.02,2253.12,1.08,2254934000.0,27.16,-2.79,6.05,6.8,33.97,220.9,0.89,6430794000.0,6.84,9.33,2.83,3.37,33.92,243.98,0.84,2739549000.0,0,0,0,0,,,,,3,3,3,3,0.0047609251953453,0.0035772990223324,0.0029552203194392,0.0092512175779865,1,2,1,1,20.13780461748808,20.733600338470477,20.909733331838307,21.627839673570943,2,2,2,2,2,3,3,2,3,3,3,2,2,2,1,1,3,3,4,2,3,3,3,2,2,0,0,0,0,0,0,0
402030,18.78,16.39,4.0,3.74,55.46,205.24,1.07,112146000.0,7.58,26.83,4.59,3.81,54.1,220.31,1.2,1543093000.0,19.74,1.76,7.35,6.83,31.02,119.94,1.08,2593269000.0,76.33,27.48,11.43,12.55,57.24,544.01,0.91,4288069000.0,0,0,0,0,,,,,3,3,3,3,0.0007607127018172,0.0005542309977664,0.001688251785865,0.000288931746061,1,2,1,2,12.938954676766844,14.053711038155956,12.133279261441723,16.09845210314959,2,2,2,2,3,3,3,3,2,2,3,4,1,1,1,2,4,2,4,2,4,2,3,3,1,0,0,0,0,0,0,0
