Stock,총자산증가율,자기자본증가율,매출액증가율,총자본영업이익율,총자본순이익율,자본금순이익율,매출액순이익율,매출액영업이익율,자기자본비율,부채비율,유보액/납입자본비율,총자본회전율,자기자본회전율, 당기순이익(손실),영업활동으로인한현금흐름,성장성,안정성,활동성,수익성,현금흐름,Z_score,부실기업판별_Z_score,부도확률_O_score,F_score,K_score,부실기업판별_K_score,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목,업종,관리종목여부,관리종목요건_감사의견,관리종목요건_매출액,관리종목요건_영업손실,관리종목요건_법인세비용차감전계속사업손실,날짜,PER,PBR,EPS,DIV,EPS성장률
389500,46.03,-39.46,2.26,-5.23,-9.21,-168.76,-20.8,-11.8,20.22,394.44,340.07,0.44,1.39,-1917031000.0,60758000.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0235637588410339,1.0,14.59380115115266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,0,0,2018,110.39958531935176,-72.54257070225611,263.45213695583095,0.04773642586300891,-5.930418841524372
296640,81.84,215.02,-6.23,3.88,1.43,68.58,1.9,5.16,40.95,144.17,2371.7,0.75,2.16,177028000.0,1148444000.0,1.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0067656692779416,1.0,17.32869974732481,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,1,2018,90.94225617283949,-63.62999382716049,396.4080925925926,0.47092193642262314,-0.3548594413485441
417970,23.53,44.46,9.65,25.3,19.34,768.48,12.97,16.97,47.94,108.6,2005.45,1.49,3.33,7210181000.0,5469434000.0,2.0,2.0,2.0,5.0,2.0,0.0,3.0,0.0003425210432102,1.0,26.20070180128712,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
314140,38.75,31.69,-5.02,8.28,5.66,146.0,6.74,9.85,58.82,70.0,1558.22,0.84,1.4,4363446000.0,6995499000.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0004608136017909,1.0,21.578064344857605,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,77.10165760165759,-20.206862211862212,577.0059575740089,0.8152751181207422,-0.07211413583240521
129920,8.36,26.3,7.67,3.96,1.57,162.88,2.1,5.32,38.03,162.97,4012.35,0.74,2.1,1865670000.0,875506000.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0016018871329418,1.0,20.705555971645573,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,77.10165760165759,-20.206862211862212,577.0059575740089,0.8152751181207422,-0.07211413583240521
368600,35.25,165.42,-5.52,20.84,19.83,864.26,20.93,21.99,47.88,108.85,1386.58,0.95,2.5,2463152000.0,419143000.0,1.0,2.0,2.0,5.0,2.0,0.0,3.0,0.0006546623995812,1.0,22.24845450627625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
365340,42.94,47.71,50.4,19.89,16.2,318.06,11.13,13.67,41.05,143.59,848.3,1.46,3.59,9262334000.0,2746387000.0,2.0,2.0,2.0,4.0,2.0,0.0,3.0,0.0009855765313495,1.0,24.136094523205152,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
403870,-51.38,-43.67,-91.62,-14.48,-12.67,-126.71,-108.62,-124.08,91.52,9.27,498.79,0.12,0.14,-2565903000.0,-6852444000.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0081196728873941,0.0,12.366405618933737,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,0,0,0,2018,110.39958531935176,-72.54257070225611,263.45213695583095,0.04773642586300891,-5.930418841524372
112290,5.16,3.0,40.27,7.28,1.55,92.82,1.57,7.36,34.01,194.04,1908.82,0.99,2.88,846970000.0,3986781000.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0047609251953453,1.0,20.13780461748808,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
402030,18.78,2.69,16.39,4.0,1.58,8.01,1.48,3.74,55.46,80.3,205.24,1.07,1.8,160109000.0,112146000.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0007607127018172,1.0,12.938954676766844,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,1,2018,57.427844656336916,-3.5849960270162895,595.8585918854416,0.8633245377134112,0.5497081451569511
